Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year
1980-12-12,0.10032312572002411,0.10075928901664646,0.10032312572002411,0.10032312572002411,469033600,0.0,0.0,1980
1980-12-15,0.09552533795636478,0.09552533795636478,0.09508917480707169,0.09508917480707169,175884800,0.0,0.0,1980
1980-12-16,0.08854597835946067,0.08854597835946067,0.0881098210811615,0.0881098210811615,105728000,0.0,0.0,1980
1980-12-17,0.0902906283736229,0.09072679152036141,0.0902906283736229,0.0902906283736229,86441600,0.0,0.0,1980
1980-12-18,0.09290838241577148,0.09334453976894715,0.09290838241577148,0.09290838241577148,73449600,0.0,0.0,1980
1980-12-19,0.09857848286628723,0.09901464615709252,0.09857848286628723,0.09857848286628723,48630400,0.0,0.0,1980
1980-12-22,0.10337622463703156,0.10381316817759727,0.10337622463703156,0.10337622463703156,37363200,0.0,0.0,1980
1980-12-23,0.10773865133523941,0.10817481469574955,0.10773865133523941,0.10773865133523941,46950400,0.0,0.0,1980
1980-12-24,0.11340870708227158,0.11384487031587662,0.11340870708227158,0.11340870708227158,48003200,0.0,0.0,1980
1980-12-26,0.12387733161449432,0.12431349483552734,0.12387733161449432,0.12387733161449432,55574400,0.0,0.0,1980
1980-12-29,0.1256219446659088,0.12605810778908183,0.1256219446659088,0.1256219446659088,93161600,0.0,0.0,1980
1980-12-30,0.12300499729451986,0.12300499729451986,0.12256884574890137,0.12256884574890137,68880000,0.0,0.0,1980
1980-12-31,0.11951569331037977,0.11951569331037977,0.11907953023910522,0.11907953023910522,35750400,0.0,0.0,1980
1981-01-02,0.12038803100585938,0.12126035731651758,0.12038803100585938,0.12038803100585938,21660800,0.0,0.0,1981
1981-01-05,0.11820718828840156,0.11820718828840156,0.11777103692293167,0.11777103692293167,35728000,0.0,0.0,1981
1981-01-06,0.11297248159342843,0.11297248159342843,0.11253631860017776,0.11253631860017776,45158400,0.0,0.0,1981
1981-01-07,0.10817481469574955,0.10817481469574955,0.10773865133523941,0.10773865133523941,55686400,0.0,0.0,1981
1981-01-08,0.10599396577338423,0.10599396577338423,0.10555781424045563,0.10555781424045563,39827200,0.0,0.0,1981
1981-01-09,0.11122789978981018,0.11166406301254557,0.11122789978981018,0.11122789978981018,21504000,0.0,0.0,1981
1981-01-12,0.11122787058011,0.11122787058011,0.11035555601119995,0.11035555601119995,23699200,0.0,0.0,1981
1981-01-13,0.10686630635635937,0.10686630635635937,0.10643014311790466,0.10643014311790466,23049600,0.0,0.0,1981
1981-01-14,0.1068662628531456,0.10730242591404666,0.1068662628531456,0.1068662628531456,14291200,0.0,0.0,1981
1981-01-15,0.10904707759618759,0.10991939215919479,0.10904707759618759,0.10904707759618759,14067200,0.0,0.0,1981
1981-01-16,0.1086108818907418,0.1086108818907418,0.10817471891641617,0.10817471891641617,13395200,0.0,0.0,1981
1981-01-19,0.11471711844205856,0.11515328142208982,0.11471711844205856,0.11471711844205856,41574400,0.0,0.0,1981
1981-01-20,0.11166406301254557,0.11166406301254557,0.11122789978981018,0.11122789978981018,30083200,0.0,0.0,1981
1981-01-21,0.11340870708227158,0.11428102190200033,0.11340870708227158,0.11340870708227158,15904000,0.0,0.0,1981
1981-01-22,0.11471711844205856,0.11558944440212106,0.11471711844205856,0.11471711844205856,35548800,0.0,0.0,1981
1981-01-23,0.1147171319358308,0.11515329496716638,0.11428096890449524,0.11428096890449524,11222400,0.0,0.0,1981
1981-01-26,0.11297248159342843,0.11297248159342843,0.11253631860017776,0.11253631860017776,24640000,0.0,0.0,1981
1981-01-27,0.11253636401845528,0.11253636401845528,0.1116640493273735,0.1116640493273735,23699200,0.0,0.0,1981
1981-01-28,0.1086108818907418,0.1086108818907418,0.10817471891641617,0.10817471891641617,28156800,0.0,0.0,1981
1981-01-29,0.10468547660714411,0.10468547660714411,0.10424931347370149,0.10424931347370148,43904000,0.0,0.0,1981
1981-01-30,0.09945080944789782,0.09945080944789782,0.09857848286628723,0.09857848286628723,46188800,0.0,0.0,1981
1981-02-02,0.09334453976894715,0.09334453976894715,0.09290838241577148,0.09290838241577148,23766400,0.0,0.0,1981
1981-02-03,0.09639765322208405,0.09683381052406856,0.09639765322208405,0.09639765322208405,19152000,0.0,0.0,1981
1981-02-04,0.09988697618246078,0.1003231278408202,0.09988697618246078,0.09988697618246078,27865600,0.0,0.0,1981
1981-02-05,0.09988697618246078,0.10075929114666289,0.09988697618246078,0.09988697618246078,7929600,0.0,0.0,1981
1981-02-06,0.10032312572002411,0.10075928901664646,0.10032312572002411,0.10032312572002411,13865600,0.0,0.0,1981
1981-02-09,0.09596149528191832,0.09596149528191832,0.09508917480707169,0.09508917480707169,16755200,0.0,0.0,1981
1981-02-10,0.09508917480707169,0.09552533795636478,0.09508917480707169,0.09508917480707169,18345600,0.0,0.0,1981
1981-02-11,0.09247221085194011,0.09247221085194011,0.09203605353832245,0.09203605353832245,13843200,0.0,0.0,1981
1981-02-12,0.09159991579178506,0.09159991579178506,0.09116297215223312,0.09116297215223312,14560000,0.0,0.0,1981
1981-02-13,0.0898544779458687,0.0898544779458687,0.08898215740919113,0.08898215740919113,11155200,0.0,0.0,1981
1981-02-17,0.09116297215223312,0.09159991579178506,0.09116297215223312,0.09116297215223312,12275200,0.0,0.0,1981
1981-02-18,0.09508917480707169,0.09596149528191832,0.09508917480707169,0.09508917480707169,19241600,0.0,0.0,1981
1981-02-19,0.0898544700888243,0.0898544700888243,0.08941830694675446,0.08941830694675446,22310400,0.0,0.0,1981
1981-02-20,0.08505674338804968,0.08505674338804968,0.08462058007717133,0.08462058007717133,24371200,0.0,0.0,1981
1981-02-23,0.0859290286898613,0.08636519185012659,0.0859290286898613,0.0859290286898613,14112000,0.0,0.0,1981
1981-02-24,0.08374822789220096,0.08374822789220096,0.08287590742111206,0.08287590742111206,16979200,0.0,0.0,1981
1981-02-25,0.0881098210811615,0.08854597835946067,0.0881098210811615,0.0881098210811615,19488000,0.0,0.0,1981
1981-02-26,0.08941830694675446,0.0898544700888243,0.08941830694675446,0.08941830694675446,10841600,0.0,0.0,1981
1981-02-27,0.09247223287820816,0.09334455353696385,0.09247223287820816,0.09247223287820816,14761600,0.0,0.0,1981
1981-03-02,0.09290838241577148,0.09334453976894715,0.09290838241577148,0.09290838241577148,11760000,0.0,0.0,1981
1981-03-03,0.09203605223075839,0.09203605223075839,0.09159988909959793,0.09159988909959793,16172800,0.0,0.0,1981
1981-03-04,0.09116296511435408,0.09116296511435408,0.0907268077135086,0.0907268077135086,13708800,0.0,0.0,1981
1981-03-05,0.09072679152036141,0.09072679152036141,0.0902906283736229,0.0902906283736229,5376000,0.0,0.0,1981
1981-03-06,0.0902906274071547,0.0902906274071547,0.08941830694675446,0.08941830694675446,11603200,0.0,0.0,1981
1981-03-09,0.082875907758418,0.082875907758418,0.08243975043296814,0.08243975043296814,15321600,0.0,0.0,1981
1981-03-10,0.0789497052300933,0.0789497052300933,0.07851354777812958,0.07851354777812958,28380800,0.0,0.0,1981
1981-03-11,0.07633272467535747,0.07633272467535747,0.07546040415763855,0.07546040415763855,29859200,0.0,0.0,1981
1981-03-12,0.07851354777812958,0.0789497052300933,0.07851354777812958,0.07851354777812958,59248000,0.0,0.0,1981
1981-03-13,0.07807739129173202,0.07807739129173202,0.07764123380184174,0.07764123380184174,231302400,0.0,0.0,1981
1981-03-16,0.08069511502981186,0.08156743556440513,0.08069511502981186,0.08069511502981186,37228800,0.0,0.0,1981
1981-03-17,0.08462058007717133,0.08549290087518635,0.08462058007717133,0.08462058007717133,43747200,0.0,0.0,1981
1981-03-18,0.08985448628664017,0.09072680690429119,0.08985448628664017,0.08985448628664017,36937600,0.0,0.0,1981
1981-03-19,0.08941831476565994,0.08941831476565994,0.08898215740919113,0.08898215740919113,37811200,0.0,0.0,1981
1981-03-20,0.08985448628664017,0.09072680690429119,0.08985448628664017,0.08985448628664017,14604800,0.0,0.0,1981
1981-03-23,0.093344546854496,0.09421686745080289,0.093344546854496,0.093344546854496,22019200,0.0,0.0,1981
1981-03-24,0.09334453976894715,0.09334453976894715,0.09290838241577148,0.09290838241577148,28156800,0.0,0.0,1981
1981-03-25,0.09203607905004335,0.09203607905004335,0.09116297215223312,0.09116297215223312,7056000,0.0,0.0,1981
1981-03-26,0.0898544700888243,0.0898544700888243,0.08941830694675446,0.08941830694675446,12275200,0.0,0.0,1981
1981-03-27,0.08680135047156783,0.08680135047156783,0.08636519312858582,0.08636519312858582,12252800,0.0,0.0,1981
